Package   Version Latest      Type
--------- ------- ----------- -----
grandalf  0.6     0.7         wheel
mccabe    0.6.1   0.7.0       wheel
nbconvert 5.5.0   6.5.0       wheel
numpy     1.20.1  1.22.3      wheel
pygit2    1.9.0   1.9.1       wheel
scmrepo   0.0.16  0.0.18      wheel
shtab     1.5.3   1.5.4       wheel
soupsieve 2.3.1   2.3.2.post1 wheel
starlette 0.17.1  0.19.0      wheel
